Date	Time	Severity	PID	TID	Function	Message
08-07-2025	12:30:49.272	 INFO	 13900	 11220	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	12:30:49.275	 INFO	 13900	  7152	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	12:30:49.284	ERROR	 13900	  7152	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	12:30:49.285	 INFO	 13900	  7152	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	12:30:49.361	 INFO	 17616	  2772	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	12:30:49.363	 INFO	 17616	 15000	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	12:30:49.373	ERROR	 17616	 15000	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	12:30:49.383	 INFO	 17616	 15000	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	12:30:49.404	 INFO	 13900	  7152	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	12:30:49.404	 INFO	 13900	  7152	Injector	"PolicyVersion : 1748962530"
08-07-2025	12:30:49.496	 INFO	 17616	 15000	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	12:30:49.496	 INFO	 17616	 15000	Injector	"PolicyVersion : 1748962530"
08-07-2025	13:56:27.043	 INFO	  3940	 27364	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	13:56:27.043	 INFO	  3940	  3364	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	13:56:27.050	ERROR	  3940	  3364	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	13:56:27.050	 INFO	  3940	  3364	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	13:56:27.095	 INFO	 26172	 18704	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	13:56:27.096	 INFO	 26172	  9512	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	13:56:27.101	ERROR	 26172	  9512	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	13:56:27.101	 INFO	 26172	  9512	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	13:56:27.115	 INFO	  3940	  3364	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	13:56:27.115	 INFO	  3940	  3364	Injector	"PolicyVersion : 1748962530"
08-07-2025	13:56:27.166	 INFO	 26172	  9512	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	13:56:27.168	 INFO	 26172	  9512	Injector	"PolicyVersion : 1748962530"
08-07-2025	13:58:54.362	 INFO	  2776	 23184	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	13:58:54.364	 INFO	  2776	 28172	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	13:58:54.369	ERROR	  2776	 28172	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	13:58:54.369	 INFO	  2776	 28172	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	13:58:54.416	 INFO	 21388	  5372	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	13:58:54.417	 INFO	 21388	 28248	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	13:58:54.421	ERROR	 21388	 28248	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	13:58:54.422	 INFO	 21388	 28248	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	13:58:54.436	 INFO	  2776	 28172	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	13:58:54.436	 INFO	  2776	 28172	Injector	"PolicyVersion : 1748962530"
08-07-2025	13:58:54.488	 INFO	 21388	 28248	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	13:58:54.488	 INFO	 21388	 28248	Injector	"PolicyVersion : 1748962530"
08-07-2025	14:02:10.471	 INFO	 21440	  8120	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	14:02:10.472	 INFO	 21440	 28012	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	14:02:10.476	ERROR	 21440	 28012	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	14:02:10.477	 INFO	 21440	 28012	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	14:02:10.519	 INFO	  7008	 11964	DllMain	"DLL_PROCESS_ATTACH "
08-07-2025	14:02:10.520	 INFO	  7008	 21912	InitializeCurrentProcessInfo	"0|0|0"
08-07-2025	14:02:10.523	ERROR	  7008	 21912	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
08-07-2025	14:02:10.524	 INFO	  7008	 21912	ProcessEdlpPolicy	"Label Id :NonWork (2)"
08-07-2025	14:02:10.533	 INFO	 21440	 28012	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	14:02:10.533	 INFO	 21440	 28012	Injector	"PolicyVersion : 1748962530"
08-07-2025	14:02:10.588	 INFO	  7008	 21912	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
08-07-2025	14:02:10.588	 INFO	  7008	 21912	Injector	"PolicyVersion : 1748962530"
