Date	Time	Severity	PID	TID	Function	Message
08-07-2025	12:30:49.401	 INFO	 13900	  7152	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	12:30:49.404	 INFO	 13900	  8772	LateInitialization	"Intialization..."
08-07-2025	12:30:49.405	 INFO	 13900	  8772	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	12:30:49.405	 INFO	 13900	  8772	LateInitialization	"IsExplorer = 0"
08-07-2025	12:30:49.406	 INFO	 13900	  8772	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	12:30:49.407	 INFO	 13900	  8772	LateInitialization	"Intialization finished"
08-07-2025	12:30:49.495	 INFO	 17616	 15000	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	12:30:49.496	 INFO	 17616	  5220	LateInitialization	"Intialization..."
08-07-2025	12:30:49.497	 INFO	 17616	  5220	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	12:30:49.498	 INFO	 17616	  5220	LateInitialization	"IsExplorer = 0"
08-07-2025	12:30:49.498	 INFO	 17616	  5220	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	12:30:49.499	 INFO	 17616	  5220	LateInitialization	"Intialization finished"
08-07-2025	13:56:27.114	 INFO	  3940	  3364	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	13:56:27.115	 INFO	  3940	  3856	LateInitialization	"Intialization..."
08-07-2025	13:56:27.116	 INFO	  3940	  3856	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	13:56:27.116	 INFO	  3940	  3856	LateInitialization	"IsExplorer = 0"
08-07-2025	13:56:27.116	 INFO	  3940	  3856	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	13:56:27.117	 INFO	  3940	  3856	LateInitialization	"Intialization finished"
08-07-2025	13:56:27.165	 INFO	 26172	  9512	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	13:56:27.166	 INFO	 26172	 16024	LateInitialization	"Intialization..."
08-07-2025	13:56:27.166	 INFO	 26172	 16024	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	13:56:27.167	 INFO	 26172	 16024	LateInitialization	"IsExplorer = 0"
08-07-2025	13:56:27.167	 INFO	 26172	 16024	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	13:56:27.167	 INFO	 26172	 16024	LateInitialization	"Intialization finished"
08-07-2025	13:58:54.435	 INFO	  2776	 28172	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	13:58:54.436	 INFO	  2776	 15420	LateInitialization	"Intialization..."
08-07-2025	13:58:54.436	 INFO	  2776	 15420	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	13:58:54.437	 INFO	  2776	 15420	LateInitialization	"IsExplorer = 0"
08-07-2025	13:58:54.437	 INFO	  2776	 15420	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	13:58:54.437	 INFO	  2776	 15420	LateInitialization	"Intialization finished"
08-07-2025	13:58:54.487	 INFO	 21388	 28248	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	13:58:54.488	 INFO	 21388	 19892	LateInitialization	"Intialization..."
08-07-2025	13:58:54.489	 INFO	 21388	 19892	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	13:58:54.489	 INFO	 21388	 19892	LateInitialization	"IsExplorer = 0"
08-07-2025	13:58:54.489	 INFO	 21388	 19892	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	13:58:54.490	 INFO	 21388	 19892	LateInitialization	"Intialization finished"
08-07-2025	14:02:10.533	 INFO	 21440	 28012	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	14:02:10.533	 INFO	 21440	 28152	LateInitialization	"Intialization..."
08-07-2025	14:02:10.534	 INFO	 21440	 28152	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	14:02:10.534	 INFO	 21440	 28152	LateInitialization	"IsExplorer = 0"
08-07-2025	14:02:10.534	 INFO	 21440	 28152	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	14:02:10.535	 INFO	 21440	 28152	LateInitialization	"Intialization finished"
08-07-2025	14:02:10.587	 INFO	  7008	 21912	DllMain	"DLL_PROCESS_ATTACH 18:39:37 11.4.2516.4"
08-07-2025	14:02:10.588	 INFO	  7008	  5052	LateInitialization	"Intialization..."
08-07-2025	14:02:10.589	 INFO	  7008	  5052	LateInitialization	"Exe = C:\Users\nhu\AppData\Local\Programs\Git\usr\bin\sh.exe"
08-07-2025	14:02:10.589	 INFO	  7008	  5052	LateInitialization	"IsExplorer = 0"
08-07-2025	14:02:10.589	 INFO	  7008	  5052	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-07-2025	14:02:10.590	 INFO	  7008	  5052	LateInitialization	"Intialization finished"
